movie_id,actor
177572,Daniel Henney
82690,John C. Reilly
82690,Sarah Silverman
82690,Jack McBrayer
5255,Tom Hanks
5255,Michael Jeter
5255,Nona Gaye
47933,Liam Hemsworth
47933,Jeff Goldblum
47933,Bill Pullman
10191,Jay Baruchel
10191,Gerard Butler
10191,Craig Ferguson
296,Arnold Schwarzenegger
296,Nick Stahl
296,Claire Danes
118340,Chris Pratt
118340,Zoe Saldana
118340,Dave Bautista
157336,Matthew McConaughey
157336,Jessica Chastain
157336,Anne Hathaway
27205,Leonardo DiCaprio
27205,Joseph Gordon-Levitt
27205,Ellen Page
315011,Hiroki Hasegawa
315011,Yutaka Takenouchi
315011,Satomi Ishihara
49051,Ian McKellen
49051,Martin Freeman
49051,Richard Armitage
9799,Paul Walker
9799,Vin Diesel
9799,Michelle Rodriguez
4922,Cate Blanchett
4922,Brad Pitt
4922,Tilda Swinton
49538,James McAvoy
49538,Michael Fassbender
49538,Jennifer Lawrence
131634,Jennifer Lawrence
131634,Josh Hutcherson
131634,Liam Hemsworth
27022,Nicolas Cage
27022,Jay Baruchel
27022,Monica Bellucci
503,Kurt Russell
503,Richard Dreyfuss
503,Josh Lucas
241259,Johnny Depp
241259,Mia Wasikowska
241259,Anne Hathaway
810,Mike Myers
810,Eddie Murphy
810,Cameron Diaz
68735,Paula Patton
68735,Travis Fimmel
68735,Ben Foster
87101,Arnold Schwarzenegger
87101,Jason Clarke
87101,Emilia Clarke
10140,Skandar Keynes
10140,Georgie Henley
10140,Simon Pegg
676,Ben Affleck
676,Josh Hartnett
676,Kate Beckinsale
1858,Shia LaBeouf
1858,Josh Duhamel
1858,Megan Fox
1966,Colin Farrell
1966,Angelina Jolie
1966,Val Kilmer
675,Daniel Radcliffe
675,Rupert Grint
675,Emma Watson
674,Daniel Radcliffe
674,Rupert Grint
674,Emma Watson
8960,Will Smith
8960,Charlize Theron
8960,Jason Bateman
6479,Will Smith
6479,Alice Braga
6479,Charlie Tahan
118,Johnny Depp
118,Freddie Highmore
118,David Kelly
2062,Patton Oswalt
2062,Ian Holm
2062,Lou Romano
272,Christian Bale
272,Michael Caine
272,Liam Neeson
10527,Ben Stiller
10527,Jada Pinkett Smith
10527,David Schwimmer
18360,Ben Stiller
18360,Amy Adams
18360,Owen Wilson
2080,Hugh Jackman
2080,Liev Schreiber
2080,Danny Huston
605,Keanu Reeves
605,Laurence Fishburne
605,Carrie-Anne Moss
109445,Kristen Bell
109445,Idina Menzel
109445,Jonathan Groff
604,Keanu Reeves
604,Carrie-Anne Moss
604,Laurence Fishburne
76338,Chris Hemsworth
76338,Natalie Portman
76338,Tom Hiddleston
76341,Tom Hardy
76341,Charlize Theron
76341,Nicholas Hoult
13448,Tom Hanks
13448,Ewan McGregor
13448,Ayelet Zurer
10195,Chris Hemsworth
10195,Natalie Portman
10195,Tom Hiddleston
13053,John Travolta
13053,Miley Cyrus
13053,Susie Essman
19585,Sam Rockwell
19585,Penélope Cruz
19585,Tracy Morgan
57165,Sam Worthington
57165,Liam Neeson
57165,Ralph Fiennes
62213,Johnny Depp
62213,Michelle Pfeiffer
62213,Helena Bonham Carter
177677,Tom Cruise
177677,Rebecca Ferguson
177677,Simon Pegg
7978,Benicio del Toro
7978,Anthony Hopkins
7978,Emily Blunt
5559,Jerry Seinfeld
5559,Renée Zellweger
5559,Jim Cummings
49444,Jack Black
49444,Angelina Jolie
49444,Dustin Hoffman
10196,Noah Ringer
10196,Nicola Peltz
10196,Jackson Rathbone
956,Tom Cruise
956,Philip Seymour Hoffman
956,Ving Rhames
117251,Channing Tatum
117251,Jamie Foxx
117251,Joey King
50321,Seth Green
50321,Joan Cusack
50321,Dan Fogler
11619,Hugh Jackman
11619,Kate Winslet
11619,Ian McKellen
266647,Levi Miller
266647,Garrett Hedlund
266647,Hugh Jackman
82703,Ty Burrell
82703,Max Charles
82703,Ariel Winter
652,Brad Pitt
652,Orlando Bloom
652,Eric Bana
80321,Ben Stiller
80321,Sacha Baron Cohen
80321,David Schwimmer
36669,Pierce Brosnan
36669,Halle Berry
36669,Rosamund Pike
43074,Melissa McCarthy
43074,Kristen Wiig
43074,Kate McKinnon
95,Bruce Willis
95,Billy Bob Thornton
95,Ben Affleck
608,Tommy Lee Jones
608,Will Smith
608,Rip Torn
2310,Ray Winstone
2310,Angelina Jolie
2310,Anthony Hopkins
140300,Jack Black
140300,Bryan Cranston
140300,Dustin Hoffman
56292,Tom Cruise
56292,Jeremy Renner
56292,Simon Pegg
81188,Chris Pine
81188,Alec Baldwin
81188,Jude Law
7552,Jim Carrey
7552,Téa Leoni
7552,Alec Baldwin
616,Tom Cruise
616,Ken Watanabe
616,William Atherton
147441,Christian Bale
147441,Joel Edgerton
147441,John Turturro
13475,Chris Pine
13475,Zachary Quinto
13475,Leonard Nimoy
557,Tobey Maguire
557,Willem Dafoe
557,Kirsten Dunst
82702,Jay Baruchel
82702,Gerard Butler
82702,Kristen Wiig
205584,Brenton Thwaites
205584,Nikolaj Coster-Waldau
205584,Gerard Butler
10048,Josh Lucas
10048,Jessica Biel
10048,Jamie Foxx
13183,Malin Åkerman
13183,Billy Crudup
13183,Carla Gugino
944,Mel Gibson
944,Danny Glover
944,Joe Pesci
1927,Eric Bana
1927,Jennifer Connelly
1927,Sam Elliott
72559,Dwayne Johnson
72559,D.J. Cotrona
72559,Adrianne Palicki
7364,Matthew McConaughey
7364,Penélope Cruz
7364,Steve Zahn
2114,Donald Sutherland
2114,Ming-Na Wen
2114,Alec Baldwin
1771,Chris Evans
1771,Hugo Weaving
1771,Tommy Lee Jones
36643,Pierce Brosnan
36643,Sophie Marceau
36643,Robert Carlyle
8619,Russell Crowe
8619,Paul Bettany
8619,James D'Arcy
50620,Kristen Stewart
50620,Robert Pattinson
50620,Taylor Lautner
65759,Elijah Wood
65759,Robin Williams
65759,Pink
1724,Edward Norton
1724,Liv Tyler
1724,Tim Roth
267935,Ruby Barnhill
267935,Mark Rylance
267935,Rebecca Hall
281957,Leonardo DiCaprio
281957,Tom Hardy
281957,Will Poulter
77950,Ryan Reynolds
77950,Paul Giamatti
77950,Michael Peña
44896,Johnny Depp
44896,Isla Fisher
44896,Ned Beatty
270946,Tom McGrath
270946,Chris Miller
270946,Christopher Knights
2503,Matt Damon
2503,Julia Stiles
2503,David Strathairn
9502,Jack Black
9502,Dustin Hoffman
9502,Angelina Jolie
102899,Paul Rudd
102899,Michael Douglas
102899,Evangeline Lilly
101299,Jennifer Lawrence
101299,Josh Hutcherson
101299,Liam Hemsworth
228161,Jim Parsons
228161,Rihanna
228161,Steve Martin
74,Tom Cruise
74,Dakota Fanning
74,Miranda Otto
8961,Martin Lawrence
8961,Will Smith
8961,Jordi Mollà
417859,Antonio Banderas
417859,Salma Hayek
417859,Zach Galifianakis
27576,Angelina Jolie
27576,Liev Schreiber
27576,Chiwetel Ejiofor
86834,Russell Crowe
86834,Jennifer Connelly
86834,Emma Watson
17578,Jamie Bell
17578,Andy Serkis
17578,Daniel Craig
673,Daniel Radcliffe
673,Rupert Grint
673,Emma Watson
6972,Nicole Kidman
6972,Hugh Jackman
6972,Essie Davis
82700,Jaden Smith
82700,Will Smith
82700,Sophie Okonedo
10567,D. B. Sweeney
10567,Alfre Woodard
10567,Ossie Davis
181533,Ben Stiller
181533,Rami Malek
181533,Rebel Wilson
38055,Will Ferrell
38055,Brad Pitt
38055,Tina Fey
671,Daniel Radcliffe
671,Rupert Grint
671,Emma Watson
49524,Jeff Bridges
49524,Ryan Reynolds
49524,Kevin Bacon
22,Johnny Depp
22,Geoffrey Rush
22,Orlando Bloom
131631,Jennifer Lawrence
131631,Josh Hutcherson
131631,Liam Hemsworth
591,Tom Hanks
591,Audrey Tautou
591,Ian McKellen
172385,Jesse Eisenberg
172385,Anne Hathaway
172385,Leslie Mann
36658,Patrick Stewart
36658,Hugh Jackman
36658,Ian McKellen
51497,Vin Diesel
51497,Paul Walker
51497,Jordana Brewster
58574,Robert Downey Jr.
58574,Jude Law
58574,Jared Harris
18823,Sam Worthington
18823,Liam Neeson
18823,Ralph Fiennes
861,Arnold Schwarzenegger
861,Sharon Stone
861,Rachel Ticotin
1911,Antonio Banderas
1911,Vladimir Kulich
1911,Dennis Storhøi
49040,Jeremy Renner
49040,Rachel Weisz
49040,Edward Norton
415,George Clooney
415,Chris O'Donnell
415,Arnold Schwarzenegger
8871,Jim Carrey
8871,Taylor Momsen
8871,Jeffrey Tambor
435,Dennis Quaid
435,Jake Gyllenhaal
435,Emmy Rossum
955,Tom Cruise
955,Dougray Scott
955,Thandie Newton
2133,George Clooney
2133,Mark Wahlberg
2133,Diane Lane
1979,Ioan Gruffudd
1979,Jessica Alba
1979,Chris Evans
87827,Suraj Sharma
87827,Irrfan Khan
87827,Ayush Tandon
1250,Nicolas Cage
1250,Eva Mendes
1250,Wes Bentley
324668,Matt Damon
324668,Alicia Vikander
324668,Tommy Lee Jones
9471,Cameron Diaz
9471,Drew Barrymore
9471,Lucy Liu
70981,Noomi Rapace
70981,Michael Fassbender
70981,Guy Pearce
10996,Michael J. Fox
10996,Geena Davis
10996,Hugh Laurie
68724,Matt Damon
68724,Jodie Foster
68724,Sharlto Copley
2789,Vin Diesel
2789,Thandie Newton
2789,Karl Urban
97020,Joel Kinnaman
97020,Gary Oldman
97020,Michael Keaton
7459,Emile Hirsch
7459,Christina Ricci
7459,Matthew Fox
42888,Reese Witherspoon
42888,Paul Rudd
42888,Owen Wilson
37834,Tom Cruise
37834,Cameron Diaz
37834,Peter Sarsgaard
75612,Tom Cruise
75612,Morgan Freeman
75612,Olga Kurylenko
1895,Ewan McGregor
1895,Natalie Portman
1895,Hayden Christensen
1894,Ewan McGregor
1894,Natalie Portman
1894,Hayden Christensen
585,John Goodman
585,Billy Crystal
585,Mary Gibbs
76170,Hugh Jackman
76170,Hiroyuki Sanada
76170,Famke Janssen
1893,Liam Neeson
1893,Ewan McGregor
1893,Natalie Portman
49519,Nicolas Cage
49519,Emma Stone
49519,Ryan Reynolds
2395,Clovis Cornillac
2395,Gérard Depardieu
2395,Franck Dubosc
12100,Nicolas Cage
12100,Adam Beach
12100,Peter Stormare
290595,Chris Hemsworth
290595,Charlize Theron
290595,Emily Blunt
98566,Megan Fox
98566,Will Arnett
98566,William Fichtner
49047,Sandra Bullock
49047,George Clooney
49047,Ed Harris
9619,Pierce Brosnan
9619,Linda Hamilton
9619,Jamie Renée Smith
308531,Megan Fox
308531,Stephen Amell
308531,Will Arnett
166424,Miles Teller
166424,Kate Mara
166424,Michael B. Jordan
1593,Ben Stiller
1593,Jake Cherry
1593,Carla Gugino
254128,Dwayne Johnson
254128,Alexandra Daddario
254128,Carla Gugino
714,Pierce Brosnan
714,Jonathan Pryce
714,Michelle Yeoh
2024,Mel Gibson
2024,Heath Ledger
2024,Joely Richardson
163,George Clooney
163,Brad Pitt
163,Catherine Zeta-Jones
787,Angelina Jolie
787,Brad Pitt
787,Vince Vaughn
262500,Shailene Woodley
262500,Theo James
262500,Kate Winslet
2567,Leonardo DiCaprio
2567,Cate Blanchett
2567,Kate Beckinsale
38745,Jack Black
38745,Amanda Peet
38745,Emily Blunt
40805,Seth Rogen
40805,Jay Chou
40805,Christoph Waltz
53182,Sullivan Stapleton
53182,Eva Green
53182,Lena Headey
41513,Hank Azaria
41513,Neil Patrick Harris
41513,Jayma Mays
13700,Roseanne Barr
13700,Judi Dench
13700,Jennifer Tilly
262504,Shailene Woodley
262504,Theo James
262504,Zoë Kravitz
39254,Hugh Jackman
39254,Dakota Goyo
39254,Evangeline Lilly
77931,Hank Azaria
77931,Neil Patrick Harris
77931,Brendan Gleeson
1639,Sandra Bullock
1639,Jason Patric
1639,Willem Dafoe
80274,Asa Butterfield
80274,Harrison Ford
80274,Hailee Steinfeld
1571,Bruce Willis
1571,Justin Long
1571,Timothy Olyphant
120,Elijah Wood
120,Ian McKellen
120,Cate Blanchett
10204,Jackie Chan
10204,Steve Coogan
10204,Cécile de France
8489,Will Smith
8489,Jamie Foxx
8489,Jon Voight
10588,Mike Myers
10588,Dakota Fanning
10588,Spencer Breslin
2048,Will Smith
2048,Bridget Moynahan
2048,Alan Tudyk
1495,Orlando Bloom
1495,Eva Green
1495,Jeremy Irons
10137,Michael J. Fox
10137,Geena Davis
10137,Hugh Laurie
10198,Anika Noni Rose
10198,Bruno Campos
10198,Keith David
286217,Matt Damon
286217,Jessica Chastain
286217,Kristen Wiig
1635,Ewan McGregor
1635,Scarlett Johansson
1635,Djimon Hounsou
24113,Warren Beatty
24113,Diane Keaton
24113,Goldie Hawn
9679,Nicolas Cage
9679,Angelina Jolie
9679,Giovanni Ribisi
98,Russell Crowe
98,Joaquin Phoenix
98,Connie Nielsen
180,Tom Cruise
180,Colin Farrell
180,Samantha Morton
672,Daniel Radcliffe
672,Rupert Grint
672,Emma Watson
36557,Daniel Craig
36557,Eva Green
36557,Mads Mikkelsen
869,Mark Wahlberg
869,Tim Roth
869,Helena Bonham Carter
280,Arnold Schwarzenegger
280,Linda Hamilton
280,Robert Patrick
11322,Christian Bale
11322,Johnny Depp
11322,Giovanni Ribisi
4982,Denzel Washington
4982,Russell Crowe
4982,Chiwetel Ejiofor
36955,Arnold Schwarzenegger
36955,Jamie Lee Curtis
36955,Tom Arnold
18487,Denzel Washington
18487,John Travolta
18487,Luis Guzmán
39451,Robert De Niro
39451,Ben Stiller
39451,Owen Wilson
27581,Will Ferrell
27581,Mark Wahlberg
27581,Eva Mendes
9268,Arnold Schwarzenegger
9268,James Caan
9268,Vanessa Williams
68718,Jamie Foxx
68718,Christoph Waltz
68718,Leonardo DiCaprio
10545,Tom Hulce
10545,Demi Moore
10545,Tony Jay
11688,David Spade
11688,John Goodman
11688,Eartha Kitt
76163,Sylvester Stallone
76163,Jason Statham
76163,Dolph Lundgren
2059,Nicolas Cage
2059,Diane Kruger
2059,Justin Bartha
2486,Ed Speleers
2486,Jeremy Irons
2486,Sienna Guillory
16523,Max Records
16523,Catherine Keener
16523,Lauren Ambrose
116711,Josh Hutcherson
116711,Amanda Seyfried
116711,Colin Farrell
37710,Johnny Depp
37710,Angelina Jolie
37710,Paul Bettany
9946,Arnold Schwarzenegger
9946,Gabriel Byrne
9946,Kevin Pollak
1372,Leonardo DiCaprio
1372,Djimon Hounsou
1372,Jennifer Connelly
106646,Leonardo DiCaprio
106646,Jonah Hill
106646,Margot Robbie
414,Val Kilmer
414,Tommy Lee Jones
414,Jim Carrey
563,Casper Van Dien
563,Dina Meyer
563,Denise Richards
83542,Tom Hanks
83542,Halle Berry
83542,Jim Broadbent
41216,Emily Barclay
41216,Abbie Cornish
41216,Essie Davis
314,Halle Berry
314,Benjamin Bratt
314,Sharon Stone
184315,Dwayne Johnson
184315,Ian McShane
184315,John Hurt
9016,Joseph Gordon-Levitt
9016,Brian Murray
9016,David Hyde Pierce
18162,Will Ferrell
18162,Anna Friel
18162,Danny McBride
138103,Sylvester Stallone
138103,Jason Statham
138103,Harrison Ford
257088,Edgar Ramírez
257088,Luke Bracey
257088,Teresa Palmer
10214,Jamie Kennedy
10214,Alan Cumming
10214,Traylor Howard
205775,Chris Hemsworth
205775,Benjamin Walker
205775,Cillian Murphy
11692,Eddie Murphy
11692,Randy Quaid
11692,Rosario Dawson
22972,Matt Damon
22972,Greg Kinnear
22972,Brendan Gleeson
227973,Noah Schnapp
227973,Bill Melendez
227973,Venus Schultheis
29193,Steve Martin
29193,Campbell Scott
29193,Ben Gazzara
1734,Brendan Fraser
1734,Rachel Weisz
1734,John Hannah
3131,Leonardo DiCaprio
3131,Daniel Day-Lewis
3131,Cameron Diaz
76758,Christian Bale
76758,Ni Ni
76758,Tong Dawei
9408,Shia LaBeouf
9408,Jeff Bridges
9408,Zooey Deschanel
9890,Nicole Kidman
9890,Matthew Broderick
9890,Bette Midler
855,Josh Hartnett
855,Ewan McGregor
855,Jason Isaacs
77953,Will Ferrell
77953,Zach Galifianakis
77953,Dylan McDermott
18,Bruce Willis
18,Gary Oldman
18,Ian Holm
37786,Sarah Jessica Parker
37786,Kristin Davis
37786,Cynthia Nixon
10501,Kenneth Branagh
10501,Kevin Kline
10501,Rosie Perez
57800,John Leguizamo
57800,Ray Romano
57800,Chris Wedge
150689,Lily James
150689,Cate Blanchett
150689,Richard Madden
7980,Rachel Weisz
7980,Mark Wahlberg
7980,Susan Sarandon
12,Albert Brooks
12,Ellen DeGeneres
12,Alexander Gould
122,Elijah Wood
122,Ian McKellen
122,Viggo Mortensen
121,Elijah Wood
121,Ian McKellen
121,Viggo Mortensen
68737,Jeff Bridges
68737,Julianne Moore
68737,Ben Barnes
1995,Angelina Jolie
1995,Jon Voight
1995,Iain Glen
157353,Johnny Depp
157353,Paul Bettany
157353,Rebecca Hall
331,Sam Neill
331,William H. Macy
331,Téa Leoni
61791,James Franco
61791,Freida Pinto
61791,John Lithgow
8204,Freddie Highmore
8204,Mary-Louise Parker
8204,Nick Nolte
47964,Bruce Willis
47964,Jai Courtney
47964,Sebastian Koch
10733,Dennis Quaid
10733,Billy Bob Thornton
10733,Jason Patric
9806,Craig T. Nelson
9806,Holly Hunter
9806,Samuel L. Jackson
1408,Geena Davis
1408,Matthew Modine
1408,Frank Langella
32657,Logan Lerman
32657,Brandon T. Jackson
32657,Alexandra Daddario
607,Tommy Lee Jones
607,Will Smith
607,Linda Fiorentino
863,Tom Hanks
863,Tim Allen
863,Joan Cusack
44048,Denzel Washington
44048,Chris Pine
44048,Rosario Dawson
5175,Chris Tucker
5175,Jackie Chan
5175,Zhang Ziyi
2655,Harrison Ford
2655,Michelle Pfeiffer
2655,Diana Scarwid
22794,Bill Hader
22794,Anna Faris
22794,James Caan
8355,Ray Romano
8355,John Leguizamo
8355,Denis Leary
116745,Ben Stiller
116745,Kristen Wiig
116745,Patton Oswalt
4327,Cameron Diaz
4327,Lucy Liu
4327,Drew Barrymore
1422,Leonardo DiCaprio
1422,Matt Damon
1422,Jack Nicholson
10674,Eddie Murphy
10674,Jackie Chan
10674,Ming-Na Wen
7446,Ben Stiller
7446,Jack Black
7446,Robert Downey Jr.
65754,Daniel Craig
65754,Rooney Mara
65754,Christopher Plummer
1572,Bruce Willis
1572,Jeremy Irons
1572,Samuel L. Jackson
10528,Robert Downey Jr.
10528,Jude Law
10528,Rachel McAdams
271969,Jack Huston
271969,Toby Kebbell
271969,Rodrigo Santoro
10865,Michael J. Fox
10865,Corey Burton
10865,Claudia Christian
258509,Jason Lee
258509,Justin Long
258509,Bella Thorne
2253,Tom Cruise
2253,Carice van Houten
2253,Kenneth Branagh
10661,Adam Sandler
10661,John Turturro
10661,Emmanuelle Chriqui
257344,Adam Sandler
257344,Michelle Monaghan
257344,Peter Dinklage
644,Haley Joel Osment
644,Frances O'Connor
644,Sam Robards
10756,Eddie Murphy
10756,Terence Stamp
10756,Nathaniel Parker
686,Jodie Foster
686,Matthew McConaughey
686,James Woods
9383,Kevin Bacon
9383,Elisabeth Shue
9383,Josh Brolin
179,Nicole Kidman
179,Sean Penn
179,Catherine Keener
76285,Logan Lerman
76285,Alexandra Daddario
76285,Douglas Smith
1996,Angelina Jolie
1996,Gerard Butler
1996,Noah Taylor
291805,Jesse Eisenberg
291805,Woody Harrelson
291805,Mark Ruffalo
10003,Val Kilmer
10003,Elisabeth Shue
10003,Rade Serbedzija
1535,Robert Redford
1535,Brad Pitt
1535,Catherine McCormack
2067,Gary Sinise
2067,Tim Robbins
2067,Don Cheadle
46195,Jesse Eisenberg
46195,Anne Hathaway
46195,Leslie Mann
2277,Robin Williams
2277,Sam Neill
2277,Embeth Davidtz
10357,Tommy Lee Jones
10357,Anne Heche
10357,Gaby Hoffmann
4477,Harrison Ford
4477,Brad Pitt
4477,Margaret Colin
8665,Harrison Ford
8665,Liam Neeson
8665,Peter Sarsgaard
9387,Arnold Schwarzenegger
9387,James Earl Jones
9387,Max von Sydow
921,Russell Crowe
921,Renée Zellweger
921,Paul Giamatti
49852,Elle Fanning
49852,Nathan Lane
49852,John Turturro
4464,Jeff Bridges
4464,David McCullough
4464,Chris Cooper
664,Helen Hunt
664,Bill Paxton
664,Cary Elwes
8358,Tom Hanks
8358,Helen Hunt
8358,Chris Noth
9836,Elijah Wood
9836,Robin Williams
9836,Brittany Murphy
2502,Matt Damon
2502,Franka Potente
2502,Brian Cox
9772,Harrison Ford
9772,Gary Oldman
9772,Glenn Close
161,George Clooney
161,Brad Pitt
161,Matt Damon
52451,Milla Jovovich
52451,Orlando Bloom
52451,Logan Lerman
76492,Adam Sandler
76492,Steve Buscemi
76492,David Spade
4523,Amy Adams
4523,Patrick Dempsey
4523,James Marsden
59961,Denzel Washington
59961,Ryan Reynolds
59961,Vera Farmiga
10481,Glenn Close
10481,Ioan Gruffudd
10481,Alice Evans
59108,Ben Stiller
59108,Eddie Murphy
59108,Casey Affleck
1581,Cameron Diaz
1581,Kate Winslet
1581,Jude Law
9798,Will Smith
9798,Gene Hackman
9798,Jon Voight
22897,Meryl Streep
22897,Alec Baldwin
22897,Steve Martin
298,George Clooney
298,Brad Pitt
298,Matt Damon
7484,Martin Lawrence
7484,Ashton Kutcher
7484,Gary Sinise
157350,Shailene Woodley
157350,Theo James
157350,Kate Winslet
853,Jude Law
853,Rachel Weisz
853,Ed Harris
10159,Dwayne Johnson
10159,Seann William Scott
10159,Rosario Dawson
9593,Arnold Schwarzenegger
9593,F. Murray Abraham
9593,Art Carney
1904,Zhang Ziyi
1904,Gong Li
1904,Youki Kudoh
9615,Lucas Black
9615,Nathalie Kelley
9615,Sung Kang
51052,James McAvoy
51052,Hugh Laurie
51052,Bill Nighy
297,Brad Pitt
297,Anthony Hopkins
297,Claire Forlani
9884,Arnold Schwarzenegger
